Mean TemperatureC,Max TemperatureC_1_days_before,Mean TemperatureC_1_days_before,Min TemperatureC_1_days_before,Dew PointC_1_days_before,MeanDew PointC_1_days_before,Min DewpointC_1_days_before,Max Humidity_1_days_before, Mean Humidity_1_days_before, Min Humidity_1_days_before, Max Sea Level PressurehPa_1_days_before, Mean Sea Level PressurehPa_1_days_before, Min Sea Level PressurehPa_1_days_before, Max VisibilityKm_1_days_before, Mean VisibilityKm_1_days_before, Min VisibilitykM_1_days_before, Max Wind SpeedKm/h_1_days_before, Mean Wind SpeedKm/h_1_days_before,Precipitationmm_1_days_before
9,23.0,16.0,7.0,67.0,49.0,43.0,93.0,75.0,57.0,1011.0,1005.0,1002.0,16.0,11.0,3.0,32.0,6.0,12.0
7,13.0,9.0,4.0,43.0,36.0,28.0,93.0,68.0,43.0,1030.0,1020.0,1012.0,16.0,16.0,8.0,26.0,10.0,0.0
8,14.0,7.0,0.0,31.0,27.0,23.0,76.0,52.0,27.0,1035.0,1033.0,1030.0,16.0,16.0,16.0,13.0,5.0,0.0
10,16.0,8.0,-1.0,36.0,28.0,21.0,89.0,56.0,22.0,1035.0,1031.0,1026.0,16.0,16.0,11.0,19.0,6.0,0.0
9,14.0,10.0,5.0,44.0,40.0,36.0,86.0,71.0,56.0,1030.0,1027.0,1025.0,16.0,16.0,11.0,16.0,3.0,0.0
12,14.0,9.0,4.0,39.0,36.0,33.0,79.0,63.0,47.0,1032.0,1029.0,1027.0,16.0,14.0,11.0,19.0,5.0,0.0
11,16.0,12.0,7.0,41.0,39.0,37.0,83.0,65.0,47.0,1031.0,1029.0,1027.0,16.0,14.0,11.0,11.0,2.0,0.0
10,17.0,11.0,4.0,43.0,39.0,33.0,92.0,64.0,36.0,1027.0,1022.0,1017.0,16.0,16.0,11.0,16.0,3.0,0.0
4,18.0,10.0,2.0,49.0,41.0,28.0,92.0,76.0,60.0,1026.0,1019.0,1016.0,16.0,16.0,6.0,27.0,8.0,0.0
8,7.0,4.0,2.0,31.0,26.0,21.0,75.0,60.0,45.0,1031.0,1027.0,1025.0,16.0,16.0,16.0,21.0,8.0,0.0
12,13.0,8.0,2.0,31.0,28.0,23.0,76.0,54.0,32.0,1033.0,1029.0,1025.0,16.0,16.0,16.0,13.0,2.0,0.0
7,21.0,12.0,4.0,51.0,42.0,30.0,83.0,68.0,52.0,1024.0,1020.0,1016.0,16.0,16.0,13.0,21.0,6.0,0.0
6,13.0,7.0,1.0,39.0,26.0,19.0,83.0,55.0,26.0,1033.0,1028.0,1021.0,16.0,16.0,14.0,34.0,13.0,0.0
14,14.0,6.0,-2.0,37.0,22.0,18.0,75.0,49.0,22.0,1032.0,1028.0,1021.0,16.0,16.0,16.0,23.0,6.0,0.0
8,22.0,14.0,6.0,55.0,48.0,38.0,89.0,68.0,47.0,1020.0,1014.0,1009.0,16.0,16.0,13.0,26.0,11.0,0.0
