Mean TemperatureC,Max TemperatureC_1_days_before,Max TemperatureC_2_days_before,Mean TemperatureC_1_days_before,Mean TemperatureC_2_days_before,Min TemperatureC_1_days_before,Min TemperatureC_2_days_before,Dew PointC_1_days_before,Dew PointC_2_days_before,MeanDew PointC_1_days_before,MeanDew PointC_2_days_before,Min DewpointC_1_days_before,Min DewpointC_2_days_before,Max Humidity_1_days_before,Max Humidity_2_days_before, Mean Humidity_1_days_before, Mean Humidity_2_days_before, Min Humidity_1_days_before, Min Humidity_2_days_before, Max Sea Level PressurehPa_1_days_before, Max Sea Level PressurehPa_2_days_before, Mean Sea Level PressurehPa_1_days_before, Mean Sea Level PressurehPa_2_days_before, Min Sea Level PressurehPa_1_days_before, Min Sea Level PressurehPa_2_days_before, Max VisibilityKm_1_days_before, Max VisibilityKm_2_days_before, Mean VisibilityKm_1_days_before, Mean VisibilityKm_2_days_before, Min VisibilitykM_1_days_before, Min VisibilitykM_2_days_before, Max Wind SpeedKm/h_1_days_before, Max Wind SpeedKm/h_2_days_before, Mean Wind SpeedKm/h_1_days_before, Mean Wind SpeedKm/h_2_days_before,Precipitationmm_1_days_before,Precipitationmm_2_days_before,Max TemperatureCtrend_in_last_2_days,Mean TemperatureCtrend_in_last_2_days,Min TemperatureCtrend_in_last_2_days,Dew PointCtrend_in_last_2_days,MeanDew PointCtrend_in_last_2_days,Min DewpointCtrend_in_last_2_days,Max Humiditytrend_in_last_2_days, Mean Humiditytrend_in_last_2_days, Min Humiditytrend_in_last_2_days, Max Sea Level PressurehPatrend_in_last_2_days, Mean Sea Level PressurehPatrend_in_last_2_days, Min Sea Level PressurehPatrend_in_last_2_days, Max VisibilityKmtrend_in_last_2_days, Mean VisibilityKmtrend_in_last_2_days, Min VisibilitykMtrend_in_last_2_days, Max Wind SpeedKm/htrend_in_last_2_days, Mean Wind SpeedKm/htrend_in_last_2_days,Precipitationmmtrend_in_last_2_days
7,13.0,23.0,9.0,16.0,4.0,7.0,43.0,67.0,36.0,49.0,28.0,43.0,93.0,93.0,68.0,75.0,43.0,57.0,1030.0,1011.0,1020.0,1005.0,1012.0,1002.0,16.0,16.0,16.0,11.0,8.0,3.0,26.0,32.0,10.0,6.0,0.0,12.0,-7.035623639735144,-5.1478150704935,-3.5355339059327378,-18.973665961010276,-11.180339887498949,-11.180339887498949,-12.020815280171307,-12.349089035228468,-15.033296378372908,13.892443989449804,14.035668847618199,14.560219778561036,0.0,3.5355339059327378,6.670832032063167,-10.124228365658293,-2.1213203435596424,-8.48528137423857
8,14.0,13.0,7.0,9.0,0.0,4.0,31.0,43.0,27.0,36.0,23.0,28.0,76.0,93.0,52.0,68.0,27.0,43.0,1035.0,1030.0,1033.0,1020.0,1030.0,1012.0,16.0,16.0,16.0,16.0,16.0,8.0,13.0,26.0,5.0,10.0,0.0,0.0,1.5811388300841898,-1.224744871391589,-2.9154759474226504,-7.713624310270756,-6.324555320336759,-3.8078865529319543,-7.745966692414834,-10.954451150103322,-11.853269591129697,3.5355339059327378,9.082951062292475,12.409673645990857,0.0,0.0,4.415880433163924,-8.154753215150045,-3.4641016151377544,0.0
10,16.0,14.0,8.0,7.0,-1.0,0.0,36.0,31.0,28.0,27.0,21.0,23.0,89.0,76.0,56.0,52.0,22.0,27.0,1035.0,1035.0,1031.0,1033.0,1026.0,1030.0,16.0,16.0,16.0,16.0,11.0,16.0,19.0,13.0,6.0,5.0,0.0,0.0,0.0,1.5811388300841898,4.183300132670378,6.670832032063167,8.514693182963201,10.51189802081432,8.94427190999916,10.977249200050075,23.78024390118823,-3.5355339059327378,-3.1622776601683795,-2.9154759474226504,0.0,0.0,-3.5355339059327378,3.6742346141747673,-2.0,0.0
9,14.0,16.0,10.0,8.0,5.0,-1.0,44.0,36.0,40.0,28.0,36.0,21.0,86.0,89.0,71.0,56.0,56.0,22.0,1030.0,1035.0,1027.0,1031.0,1025.0,1026.0,16.0,16.0,16.0,16.0,11.0,11.0,16.0,19.0,3.0,6.0,0.0,0.0,-1.4142135623730951,1.224744871391589,4.183300132670378,4.415880433163924,8.0,10.392304845413264,-5.385164807134504,8.972179222463181,23.18404623873926,-3.24037034920393,-2.449489742783178,1.224744871391589,0.0,-1.4142135623730951,0.0,0.0,-1.5811388300841898,0.0
12,14.0,14.0,9.0,10.0,4.0,5.0,39.0,44.0,36.0,40.0,33.0,36.0,79.0,86.0,63.0,71.0,47.0,56.0,1032.0,1030.0,1029.0,1027.0,1027.0,1025.0,16.0,16.0,14.0,16.0,11.0,11.0,19.0,16.0,5.0,3.0,0.0,0.0,1.4142135623730951,2.0,2.0,-3.24037034920393,-1.8708286933869707,1.8708286933869707,-4.06201920231798,-5.477225575051661,-6.363961030678928,1.224744871391589,1.4142135623730951,1.4142135623730951,0.0,-1.4142135623730951,0.0,-5.244044240850758,-1.5811388300841898,0.0
11,16.0,14.0,12.0,9.0,7.0,4.0,41.0,39.0,39.0,36.0,37.0,33.0,83.0,79.0,65.0,63.0,47.0,47.0,1031.0,1032.0,1029.0,1029.0,1027.0,1027.0,16.0,16.0,14.0,14.0,11.0,11.0,11.0,19.0,2.0,5.0,0.0,0.0,1.5811388300841898,2.0,0.0,2.0,2.1213203435596424,0.0,6.96419413859206,1.224744871391589,-7.7781745930520225,-2.9154759474226504,-4.949747468305833,-7.0710678118654755,0.0,1.4142135623730951,0.0,-4.415880433163924,-2.0,0.0
10,17.0,16.0,11.0,12.0,4.0,7.0,43.0,41.0,39.0,39.0,33.0,37.0,92.0,83.0,64.0,65.0,36.0,47.0,1027.0,1031.0,1022.0,1029.0,1017.0,1027.0,16.0,16.0,16.0,14.0,11.0,11.0,16.0,11.0,3.0,2.0,0.0,0.0,1.0,-1.0,-2.5495097567963922,4.47213595499958,1.4142135623730951,-4.527692569068709,6.363961030678928,8.455767262643882,15.083103128998356,-2.9154759474226504,-5.385164807134504,-7.106335201775948,0.0,1.4142135623730951,-3.5355339059327378,8.54400374531753,3.605551275463989,0.0
4,18.0,17.0,10.0,11.0,2.0,4.0,49.0,43.0,41.0,39.0,28.0,33.0,92.0,92.0,76.0,64.0,60.0,36.0,1026.0,1027.0,1019.0,1022.0,1016.0,1017.0,16.0,16.0,16.0,16.0,6.0,11.0,27.0,16.0,8.0,3.0,0.0,0.0,-7.745966692414834,-4.301162633521313,-1.4142135623730951,-12.0,-10.51189802081432,-6.082762530298219,-12.020815280171307,-7.483314773547883,13.24764129949177,3.4641016151377544,5.244044240850758,6.324555320336759,0.0,0.0,6.123724356957945,6.519202405202649,3.5355339059327378,0.0
8,7.0,18.0,4.0,10.0,2.0,2.0,31.0,49.0,26.0,41.0,21.0,28.0,75.0,92.0,60.0,76.0,45.0,60.0,1031.0,1026.0,1027.0,1019.0,1025.0,1016.0,16.0,16.0,16.0,16.0,16.0,6.0,21.0,27.0,8.0,8.0,0.0,0.0,-6.519202405202649,-3.1622776601683795,0.0,-12.727922061357855,-10.51189802081432,-4.743416490252569,-12.0,-12.083045973594572,-14.035668847618199,3.8078865529319543,5.830951894845301,6.363961030678928,0.0,0.0,7.0710678118654755,-7.0710678118654755,-4.242640687119285,0.0
12,13.0,7.0,8.0,4.0,2.0,2.0,31.0,31.0,28.0,26.0,23.0,21.0,76.0,75.0,54.0,60.0,32.0,45.0,1033.0,1031.0,1029.0,1027.0,1025.0,1025.0,16.0,16.0,16.0,16.0,16.0,16.0,13.0,21.0,2.0,8.0,0.0,0.0,7.0710678118654755,4.0,1.4142135623730951,14.142135623730951,10.0,5.1478150704935,5.0,8.94427190999916,10.747092630102339,-6.2048368229954285,-6.2048368229954285,-6.363961030678928,0.0,0.0,-2.1213203435596424,0.0,-3.1622776601683795,0.0
7,21.0,13.0,12.0,8.0,4.0,2.0,51.0,31.0,42.0,28.0,30.0,23.0,83.0,76.0,68.0,54.0,52.0,32.0,1024.0,1033.0,1020.0,1029.0,1016.0,1025.0,16.0,16.0,16.0,16.0,13.0,16.0,21.0,13.0,6.0,2.0,0.0,0.0,0.0,-2.1213203435596424,-1.5811388300841898,11.313708498984761,-5.477225575051661,-6.0,4.949747468305833,3.6742346141747673,-11.74734012447073,0.0,-2.9154759474226504,-5.291502622129181,0.0,0.0,-2.0,10.793516572461451,5.70087712549569,0.0
6,13.0,21.0,7.0,12.0,1.0,4.0,39.0,51.0,26.0,42.0,19.0,30.0,83.0,83.0,55.0,68.0,26.0,52.0,1033.0,1024.0,1028.0,1020.0,1021.0,1016.0,16.0,16.0,16.0,16.0,14.0,13.0,34.0,21.0,13.0,6.0,0.0,0.0,-5.612486080160912,-3.605551275463989,-3.0,-8.602325267042627,-11.661903789690601,-7.810249675906654,-5.656854249492381,-10.124228365658293,-18.601075237738275,6.324555320336759,5.656854249492381,3.5355339059327378,0.0,0.0,1.5811388300841898,4.898979485566356,0.0,0.0
14,14.0,13.0,6.0,7.0,-2.0,1.0,37.0,39.0,22.0,26.0,18.0,19.0,75.0,83.0,49.0,55.0,22.0,26.0,1032.0,1033.0,1028.0,1028.0,1021.0,1021.0,16.0,16.0,16.0,16.0,16.0,14.0,23.0,34.0,6.0,13.0,0.0,0.0,5.70087712549569,5.612486080160912,5.244044240850758,12.649110640673518,18.16590212458495,14.124446891825535,8.12403840463596,12.747548783981962,17.449928366615147,-8.514693182963201,-9.899494936611665,-8.48528137423857,0.0,0.0,-1.5811388300841898,-7.483314773547883,-3.4641016151377544,0.0
8,22.0,14.0,14.0,6.0,6.0,-2.0,55.0,37.0,48.0,22.0,38.0,18.0,89.0,75.0,68.0,49.0,47.0,22.0,1020.0,1032.0,1014.0,1028.0,1009.0,1021.0,16.0,16.0,16.0,16.0,13.0,16.0,26.0,23.0,11.0,6.0,0.0,0.0,2.7386127875258306,3.7416573867739413,4.415880433163924,12.708265027138834,14.491376746189438,-8.031189202104505,9.797958971132712,11.832159566199232,13.583077707206124,0.0,-9.246621004453464,-8.48528137423857,0.0,0.0,-5.385164807134504,6.041522986797286,5.0,0.0
