Mean TemperatureC,Max TemperatureC_1_days_before,Max TemperatureC_2_days_before,Max TemperatureC_3_days_before,Max TemperatureC_4_days_before,Mean TemperatureC_1_days_before,Mean TemperatureC_2_days_before,Mean TemperatureC_3_days_before,Mean TemperatureC_4_days_before,Min TemperatureC_1_days_before,Min TemperatureC_2_days_before,Min TemperatureC_3_days_before,Min TemperatureC_4_days_before,Dew PointC_1_days_before,Dew PointC_2_days_before,Dew PointC_3_days_before,Dew PointC_4_days_before,MeanDew PointC_1_days_before,MeanDew PointC_2_days_before,MeanDew PointC_3_days_before,MeanDew PointC_4_days_before,Min DewpointC_1_days_before,Min DewpointC_2_days_before,Min DewpointC_3_days_before,Min DewpointC_4_days_before,Max Humidity_1_days_before,Max Humidity_2_days_before,Max Humidity_3_days_before,Max Humidity_4_days_before, Mean Humidity_1_days_before, Mean Humidity_2_days_before, Mean Humidity_3_days_before, Mean Humidity_4_days_before, Min Humidity_1_days_before, Min Humidity_2_days_before, Min Humidity_3_days_before, Min Humidity_4_days_before, Max Sea Level PressurehPa_1_days_before, Max Sea Level PressurehPa_2_days_before, Max Sea Level PressurehPa_3_days_before, Max Sea Level PressurehPa_4_days_before, Mean Sea Level PressurehPa_1_days_before, Mean Sea Level PressurehPa_2_days_before, Mean Sea Level PressurehPa_3_days_before, Mean Sea Level PressurehPa_4_days_before, Min Sea Level PressurehPa_1_days_before, Min Sea Level PressurehPa_2_days_before, Min Sea Level PressurehPa_3_days_before, Min Sea Level PressurehPa_4_days_before, Max VisibilityKm_1_days_before, Max VisibilityKm_2_days_before, Max VisibilityKm_3_days_before, Max VisibilityKm_4_days_before, Mean VisibilityKm_1_days_before, Mean VisibilityKm_2_days_before, Mean VisibilityKm_3_days_before, Mean VisibilityKm_4_days_before, Min VisibilitykM_1_days_before, Min VisibilitykM_2_days_before, Min VisibilitykM_3_days_before, Min VisibilitykM_4_days_before, Max Wind SpeedKm/h_1_days_before, Max Wind SpeedKm/h_2_days_before, Max Wind SpeedKm/h_3_days_before, Max Wind SpeedKm/h_4_days_before, Mean Wind SpeedKm/h_1_days_before, Mean Wind SpeedKm/h_2_days_before, Mean Wind SpeedKm/h_3_days_before, Mean Wind SpeedKm/h_4_days_before,Precipitationmm_1_days_before,Precipitationmm_2_days_before,Precipitationmm_3_days_before,Precipitationmm_4_days_before,Max TemperatureCaverage_of_last_2_days,Mean TemperatureCaverage_of_last_2_days,Min TemperatureCaverage_of_last_2_days,Dew PointCaverage_of_last_2_days,MeanDew PointCaverage_of_last_2_days,Min DewpointCaverage_of_last_2_days,Max Humidityaverage_of_last_2_days, Mean Humidityaverage_of_last_2_days, Min Humidityaverage_of_last_2_days, Max Sea Level PressurehPaaverage_of_last_2_days, Mean Sea Level PressurehPaaverage_of_last_2_days, Min Sea Level PressurehPaaverage_of_last_2_days, Max VisibilityKmaverage_of_last_2_days, Mean VisibilityKmaverage_of_last_2_days, Min VisibilitykMaverage_of_last_2_days, Max Wind SpeedKm/haverage_of_last_2_days, Mean Wind SpeedKm/haverage_of_last_2_days,Precipitationmmaverage_of_last_2_days,Max TemperatureCaverage_of_last_3_days,Mean TemperatureCaverage_of_last_3_days,Min TemperatureCaverage_of_last_3_days,Dew PointCaverage_of_last_3_days,MeanDew PointCaverage_of_last_3_days,Min DewpointCaverage_of_last_3_days,Max Humidityaverage_of_last_3_days, Mean Humidityaverage_of_last_3_days, Min Humidityaverage_of_last_3_days, Max Sea Level PressurehPaaverage_of_last_3_days, Mean Sea Level PressurehPaaverage_of_last_3_days, Min Sea Level PressurehPaaverage_of_last_3_days, Max VisibilityKmaverage_of_last_3_days, Mean VisibilityKmaverage_of_last_3_days, Min VisibilitykMaverage_of_last_3_days, Max Wind SpeedKm/haverage_of_last_3_days, Mean Wind SpeedKm/haverage_of_last_3_days,Precipitationmmaverage_of_last_3_days,Max TemperatureCtrend_in_last_2_days,Mean TemperatureCtrend_in_last_2_days,Min TemperatureCtrend_in_last_2_days,Dew PointCtrend_in_last_2_days,MeanDew PointCtrend_in_last_2_days,Min DewpointCtrend_in_last_2_days,Max Humiditytrend_in_last_2_days, Mean Humiditytrend_in_last_2_days, Min Humiditytrend_in_last_2_days, Max Sea Level PressurehPatrend_in_last_2_days, Mean Sea Level PressurehPatrend_in_last_2_days, Min Sea Level PressurehPatrend_in_last_2_days, Max VisibilityKmtrend_in_last_2_days, Mean VisibilityKmtrend_in_last_2_days, Min VisibilitykMtrend_in_last_2_days, Max Wind SpeedKm/htrend_in_last_2_days, Mean Wind SpeedKm/htrend_in_last_2_days,Precipitationmmtrend_in_last_2_days,Max TemperatureCtrend_in_last_3_days,Mean TemperatureCtrend_in_last_3_days,Min TemperatureCtrend_in_last_3_days,Dew PointCtrend_in_last_3_days,MeanDew PointCtrend_in_last_3_days,Min DewpointCtrend_in_last_3_days,Max Humiditytrend_in_last_3_days, Mean Humiditytrend_in_last_3_days, Min Humiditytrend_in_last_3_days, Max Sea Level PressurehPatrend_in_last_3_days, Mean Sea Level PressurehPatrend_in_last_3_days, Min Sea Level PressurehPatrend_in_last_3_days, Max VisibilityKmtrend_in_last_3_days, Mean VisibilityKmtrend_in_last_3_days, Min VisibilitykMtrend_in_last_3_days, Max Wind SpeedKm/htrend_in_last_3_days, Mean Wind SpeedKm/htrend_in_last_3_days,Precipitationmmtrend_in_last_3_days,Max TemperatureCtrend_in_last_4_days,Mean TemperatureCtrend_in_last_4_days,Min TemperatureCtrend_in_last_4_days,Dew PointCtrend_in_last_4_days,MeanDew PointCtrend_in_last_4_days,Min DewpointCtrend_in_last_4_days,Max Humiditytrend_in_last_4_days, Mean Humiditytrend_in_last_4_days, Min Humiditytrend_in_last_4_days, Max Sea Level PressurehPatrend_in_last_4_days, Mean Sea Level PressurehPatrend_in_last_4_days, Min Sea Level PressurehPatrend_in_last_4_days, Max VisibilityKmtrend_in_last_4_days, Mean VisibilityKmtrend_in_last_4_days, Min VisibilitykMtrend_in_last_4_days, Max Wind SpeedKm/htrend_in_last_4_days, Mean Wind SpeedKm/htrend_in_last_4_days,Precipitationmmtrend_in_last_4_days
10,16.0,14.0,13.0,23.0,8.0,7.0,9.0,16.0,-1.0,0.0,4.0,7.0,36.0,31.0,43.0,67.0,28.0,27.0,36.0,49.0,21.0,23.0,28.0,43.0,89.0,76.0,93.0,93.0,56.0,52.0,68.0,75.0,22.0,27.0,43.0,57.0,1035.0,1035.0,1030.0,1011.0,1031.0,1033.0,1020.0,1005.0,1026.0,1030.0,1012.0,1002.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,11.0,11.0,16.0,8.0,3.0,19.0,13.0,26.0,32.0,6.0,5.0,10.0,6.0,0.0,0.0,0.0,12.0,15.0,9.0,2.0,40.0,34.0,28.5,87.5,63.5,39.0,1032.5,1029.0,1025.5,16.0,16.0,11.0,17.5,4.5,0.0,14.666666666666666,8.333333333333334,1.3333333333333333,37.0,31.666666666666668,26.666666666666668,83.66666666666667,59.666666666666664,35.0,1033.3333333333333,1030.3333333333333,1027.0,16.0,16.0,12.666666666666666,16.0,4.666666666666667,0.0,0.0,1.5811388300841898,4.183300132670378,6.670832032063167,8.514693182963201,10.51189802081432,8.94427190999916,10.977249200050075,23.78024390118823,-3.5355339059327378,-3.1622776601683795,-2.9154759474226504,0.0,0.0,-3.5355339059327378,3.6742346141747673,-2.0,0.0,0.5773502691896257,0.5773502691896257,2.516611478423583,-4.281744192888376,4.618802153517006,8.082903768654761,-6.557438524302,-2.23606797749979,17.07825127659933,0.0,7.047458170621991,10.115993936995679,0.0,0.0,3.605551275463989,-6.879922480183431,-3.3166247903554,0.0,-4.9749371855331,-3.4641016151377544,1.5811388300841898,-12.55985668708047,-5.123475382979799,-2.692582403567252,-5.678908345800274,-4.0,13.028814220795383,9.5,9.669539802906858,10.087120500916008,0.0,2.5,4.0,-6.670832032063167,-2.0615528128088303,-6.0
9,14.0,16.0,14.0,13.0,10.0,8.0,7.0,9.0,5.0,-1.0,0.0,4.0,44.0,36.0,31.0,43.0,40.0,28.0,27.0,36.0,36.0,21.0,23.0,28.0,86.0,89.0,76.0,93.0,71.0,56.0,52.0,68.0,56.0,22.0,27.0,43.0,1030.0,1035.0,1035.0,1030.0,1027.0,1031.0,1033.0,1020.0,1025.0,1026.0,1030.0,1012.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,11.0,11.0,16.0,8.0,16.0,19.0,13.0,26.0,3.0,6.0,5.0,10.0,0.0,0.0,0.0,0.0,14.0,9.5,4.5,41.5,38.0,34.5,82.5,67.0,51.5,1031.0,1028.0,1026.0,16.0,15.0,11.0,17.5,4.0,0.0,14.666666666666666,9.0,2.6666666666666665,39.666666666666664,34.666666666666664,30.0,84.66666666666667,63.333333333333336,41.666666666666664,1032.3333333333333,1029.0,1026.0,16.0,15.333333333333334,11.0,18.0,4.666666666666667,0.0,-1.4142135623730951,1.224744871391589,4.183300132670378,4.415880433163924,8.0,10.392304845413264,-5.385164807134504,8.972179222463181,23.18404623873926,-3.24037034920393,-2.449489742783178,1.224744871391589,0.0,-1.4142135623730951,0.0,0.0,-1.5811388300841898,0.0,0.0,1.1547005383792515,3.366501646120693,4.618802153517006,6.557438524302,8.406346808612328,6.082762530298219,7.681145747868608,18.708286933869708,-2.6457513110645907,-2.309401076758503,-2.0816659994661326,0.0,-1.1547005383792515,-2.886751345948129,3.4641016151377544,-1.1547005383792515,0.0,0.5,0.0,2.1213203435596424,-4.47213595499958,3.4641016151377544,6.837397165588672,-6.670832032063167,-4.444097208657794,14.089002803605371,1.0,6.18465843842649,8.817596044274199,0.0,-1.0,3.122498999199199,-5.766281297335398,-2.692582403567252,0.0
12,14.0,14.0,16.0,14.0,9.0,10.0,8.0,7.0,4.0,5.0,-1.0,0.0,39.0,44.0,36.0,31.0,36.0,40.0,28.0,27.0,33.0,36.0,21.0,23.0,79.0,86.0,89.0,76.0,63.0,71.0,56.0,52.0,47.0,56.0,22.0,27.0,1032.0,1030.0,1035.0,1035.0,1029.0,1027.0,1031.0,1033.0,1027.0,1025.0,1026.0,1030.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,11.0,11.0,11.0,16.0,19.0,16.0,19.0,13.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,15.0,10.5,5.5,40.0,37.5,35.0,81.0,64.0,47.0,1031.5,1029.0,1027.0,16.0,14.0,11.0,15.0,3.5,0.0,14.666666666666666,10.333333333333334,5.333333333333333,41.333333333333336,38.333333333333336,35.333333333333336,82.66666666666667,66.33333333333333,50.0,1031.0,1028.3333333333333,1026.3333333333333,16.0,14.666666666666666,11.0,15.333333333333334,3.3333333333333335,0.0,1.4142135623730951,2.0,2.0,-3.24037034920393,-1.8708286933869707,1.8708286933869707,-4.06201920231798,-5.477225575051661,-6.363961030678928,1.224744871391589,1.4142135623730951,1.4142135623730951,0.0,-1.4142135623730951,0.0,-5.244044240850758,-1.5811388300841898,0.0,0.0,2.0,3.8297084310253524,3.7859388972001824,6.757711644237764,8.793937305515279,-3.7416573867739413,7.416198487095663,18.929694486000912,-2.70801280154532,-2.0,1.0,0.0,-1.1547005383792515,0.0,-4.618802153517006,-2.160246899469287,0.0,1.0,1.8027756377319946,3.278719262151,4.123105625617661,5.873670062235365,7.54983443527075,5.634713834792322,6.726812023536855,16.20185174601965,-2.345207879911715,-2.0,-1.8027756377319946,0.0,-1.0,-2.5,-2.6457513110645907,-1.8027756377319946,0.0
11,16.0,14.0,14.0,16.0,12.0,9.0,10.0,8.0,7.0,4.0,5.0,-1.0,41.0,39.0,44.0,36.0,39.0,36.0,40.0,28.0,37.0,33.0,36.0,21.0,83.0,79.0,86.0,89.0,65.0,63.0,71.0,56.0,47.0,47.0,56.0,22.0,1031.0,1032.0,1030.0,1035.0,1029.0,1029.0,1027.0,1031.0,1027.0,1027.0,1025.0,1026.0,16.0,16.0,16.0,16.0,14.0,14.0,16.0,16.0,11.0,11.0,11.0,11.0,11.0,19.0,16.0,19.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,16.5,11.5,5.5,42.0,39.0,35.0,87.5,64.5,41.5,1029.0,1025.5,1022.0,16.0,15.0,11.0,13.5,2.5,0.0,15.666666666666666,10.666666666666666,5.0,41.0,38.0,34.333333333333336,84.66666666666667,64.0,43.333333333333336,1030.0,1026.6666666666667,1023.6666666666666,16.0,14.666666666666666,11.0,15.333333333333334,3.3333333333333335,0.0,1.5811388300841898,2.0,0.0,2.0,2.1213203435596424,0.0,6.96419413859206,1.224744871391589,-7.7781745930520225,-2.9154759474226504,-4.949747468305833,-7.0710678118654755,0.0,1.4142135623730951,0.0,-4.415880433163924,-2.0,0.0,1.2909944487358056,1.5275252316519468,-0.5773502691896257,-2.3804761428476167,-1.5275252316519468,-1.7320508075688772,4.0,-4.509249752822894,-8.205689083394114,-2.0816659994661326,-3.872983346207417,-5.656854249492381,0.0,0.0,0.0,-3.1622776601683795,-1.1547005383792515,0.0,0.5,1.6583123951777,2.958039891549808,3.427827300200522,5.852349955359813,7.3484692283495345,3.122498999199199,6.4031242374328485,15.443445211480501,-3.082207001484488,-3.905124837953327,-4.924428900898052,0.0,0.0,0.0,-3.122498999199199,-1.8027756377319946,0.0
10,17.0,16.0,14.0,14.0,11.0,12.0,9.0,10.0,4.0,7.0,4.0,5.0,43.0,41.0,39.0,44.0,39.0,39.0,36.0,40.0,33.0,37.0,33.0,36.0,92.0,83.0,79.0,86.0,64.0,65.0,63.0,71.0,36.0,47.0,47.0,56.0,1027.0,1031.0,1032.0,1030.0,1022.0,1029.0,1029.0,1027.0,1017.0,1027.0,1027.0,1025.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,16.0,11.0,11.0,11.0,11.0,16.0,11.0,19.0,16.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,17.5,10.5,3.0,46.0,40.0,30.5,92.0,70.0,48.0,1026.5,1020.5,1016.5,16.0,16.0,8.5,21.5,5.5,0.0,17.0,11.0,4.333333333333333,44.333333333333336,39.666666666666664,32.666666666666664,89.0,68.33333333333333,47.666666666666664,1028.0,1023.3333333333334,1020.0,16.0,15.333333333333334,9.333333333333334,18.0,4.333333333333333,0.0,1.0,-1.0,-2.5495097567963922,4.47213595499958,1.4142135623730951,-4.527692569068709,6.363961030678928,8.455767262643882,15.083103128998356,-2.9154759474226504,-5.385164807134504,-7.106335201775948,0.0,1.4142135623730951,-3.5355339059327378,8.54400374531753,3.605551275463989,0.0,1.4142135623730951,1.5275252316519468,-1.1547005383792515,3.8297084310253524,2.0816659994661326,-2.886751345948129,5.686240703077327,7.0,12.315302134607444,-2.449489742783178,-4.396968652757639,-5.802298395176403,0.0,1.1547005383792515,-2.886751345948129,5.228129047119374,2.3804761428476167,0.0,1.224744871391589,1.224744871391589,-1.118033988749895,2.179449471770337,-0.8660254037844386,-2.9154759474226504,3.4641016151377544,4.55521678957215,9.669539802906858,-1.8708286933869707,-3.6742346141747673,-4.924428900898052,0.0,0.0,-2.5,4.769696007084728,2.29128784747792,0.0
4,18.0,17.0,16.0,14.0,10.0,11.0,12.0,9.0,2.0,4.0,7.0,4.0,49.0,43.0,41.0,39.0,41.0,39.0,39.0,36.0,28.0,33.0,37.0,33.0,92.0,92.0,83.0,79.0,76.0,64.0,65.0,63.0,60.0,36.0,47.0,47.0,1026.0,1027.0,1031.0,1032.0,1019.0,1022.0,1029.0,1029.0,1016.0,1017.0,1027.0,1027.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,6.0,11.0,11.0,11.0,27.0,16.0,11.0,19.0,8.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,12.5,7.0,2.0,40.0,33.5,24.5,83.5,68.0,52.5,1028.5,1023.0,1020.5,16.0,16.0,11.0,24.0,8.0,0.0,14.0,8.333333333333334,2.6666666666666665,41.0,35.333333333333336,27.333333333333332,86.33333333333333,66.66666666666667,47.0,1028.0,1022.6666666666666,1019.3333333333334,16.0,16.0,11.0,21.333333333333332,6.333333333333333,0.0,-7.745966692414834,-4.301162633521313,-1.4142135623730951,-12.0,-10.51189802081432,-6.082762530298219,-12.020815280171307,-7.483314773547883,13.24764129949177,3.4641016151377544,5.244044240850758,6.324555320336759,0.0,0.0,6.123724356957945,6.519202405202649,3.5355339059327378,0.0,-6.298147875897061,-3.559026084010437,-2.0816659994661326,-9.72967967955095,-8.582928793055823,-5.477225575051661,-8.32666399786453,-6.137317546507322,8.755950357709132,1.632993161855452,1.4142135623730951,-2.581988897471611,0.0,1.1547005383792515,5.0,6.0553007081949835,2.943920288775949,0.0,-5.361902647381804,-2.692582403567252,-1.0,-8.366600265340756,-7.280109889280518,-4.301162633521313,-6.928203230275509,-5.220153254455275,7.582875444051551,1.3228756555322954,1.224744871391589,-2.23606797749979,0.0,1.0,4.330127018922194,3.391164991562634,2.0615528128088303,0.0
8,7.0,18.0,17.0,16.0,4.0,10.0,11.0,12.0,2.0,2.0,4.0,7.0,31.0,49.0,43.0,41.0,26.0,41.0,39.0,39.0,21.0,28.0,33.0,37.0,75.0,92.0,92.0,83.0,60.0,76.0,64.0,65.0,45.0,60.0,36.0,47.0,1031.0,1026.0,1027.0,1031.0,1027.0,1019.0,1022.0,1029.0,1025.0,1016.0,1017.0,1027.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,16.0,6.0,11.0,11.0,21.0,27.0,16.0,11.0,8.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,31.0,27.0,22.0,75.5,57.0,38.5,1032.0,1028.0,1025.0,16.0,16.0,16.0,17.0,5.0,0.0,12.666666666666666,7.333333333333333,2.0,37.0,31.666666666666668,24.0,81.0,63.333333333333336,45.666666666666664,1030.0,1025.0,1022.0,16.0,16.0,12.666666666666666,20.333333333333332,6.0,0.0,-6.519202405202649,-3.1622776601683795,0.0,-12.727922061357855,-10.51189802081432,-4.743416490252569,-12.0,-12.083045973594572,-14.035668847618199,3.8078865529319543,5.830951894845301,6.363961030678928,0.0,0.0,7.0710678118654755,-7.0710678118654755,-4.242640687119285,0.0,-5.291502622129181,-2.6457513110645907,-1.1547005383792515,-9.797958971132712,-8.504900548115382,-4.83045891539648,-9.797958971132712,-7.023769168568493,7.788880963698615,3.0550504633038935,4.43471156521669,5.163977794943222,0.0,0.0,5.0,2.6457513110645907,-1.9148542155126762,0.0,-4.55521678957215,-2.345207879911715,-1.8027756377319946,-8.426149773176359,-7.365459931328117,-4.636809247747852,-7.19374728496908,-6.103277807866851,3.905124837953327,1.7320508075688772,1.5811388300841898,-2.23606797749979,0.0,1.0,4.330127018922194,3.391164991562634,-1.5811388300841898,0.0
12,13.0,7.0,18.0,17.0,8.0,4.0,10.0,11.0,2.0,2.0,2.0,4.0,31.0,31.0,49.0,43.0,28.0,26.0,41.0,39.0,23.0,21.0,28.0,33.0,76.0,75.0,92.0,92.0,54.0,60.0,76.0,64.0,32.0,45.0,60.0,36.0,1033.0,1031.0,1026.0,1027.0,1029.0,1027.0,1019.0,1022.0,1025.0,1025.0,1016.0,1017.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,6.0,11.0,13.0,21.0,27.0,16.0,2.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,17.0,10.0,3.0,41.0,35.0,26.5,79.5,61.0,42.0,1028.5,1024.5,1020.5,16.0,16.0,14.5,17.0,4.0,0.0,13.666666666666666,8.0,2.6666666666666665,37.666666666666664,32.0,24.666666666666668,78.0,60.666666666666664,43.0,1029.3333333333333,1025.3333333333333,1022.0,16.0,16.0,15.0,18.333333333333332,5.333333333333333,0.0,7.0710678118654755,4.0,1.4142135623730951,14.142135623730951,10.0,5.1478150704935,5.0,8.94427190999916,10.747092630102339,-6.2048368229954285,-6.2048368229954285,-6.363961030678928,0.0,0.0,-2.1213203435596424,0.0,-3.1622776601683795,0.0,-2.6457513110645907,-1.1547005383792515,1.1547005383792515,5.033222956847166,-2.886751345948129,1.1547005383792515,-8.925618559330589,-5.656854249492381,1.4142135623730951,-4.163331998932265,-2.0816659994661326,0.0,0.0,0.0,5.507570547286102,-3.4641016151377544,-2.581988897471611,0.0,-2.23606797749979,-1.118033988749895,0.0,5.291502622129181,-2.29128784747792,-2.29128784747792,-7.729812416870153,3.4641016151377544,12.062338081814818,-3.640054944640259,-2.345207879911715,-0.5,0.0,0.0,4.06201920231798,4.6097722286464435,1.118033988749895,0.0
7,21.0,13.0,7.0,18.0,12.0,8.0,4.0,10.0,4.0,2.0,2.0,2.0,51.0,31.0,31.0,49.0,42.0,28.0,26.0,41.0,30.0,23.0,21.0,28.0,83.0,76.0,75.0,92.0,68.0,54.0,60.0,76.0,52.0,32.0,45.0,60.0,1024.0,1033.0,1031.0,1026.0,1020.0,1029.0,1027.0,1019.0,1016.0,1025.0,1025.0,1016.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,13.0,16.0,16.0,6.0,21.0,13.0,21.0,27.0,6.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,17.0,9.5,2.5,45.0,34.0,24.5,83.0,61.5,39.0,1028.5,1024.0,1018.5,16.0,16.0,13.5,27.5,9.5,0.0,15.666666666666666,9.0,2.3333333333333335,40.333333333333336,32.0,24.0,80.66666666666667,59.0,36.666666666666664,1030.0,1025.6666666666667,1020.6666666666666,16.0,16.0,14.333333333333334,22.666666666666668,7.0,0.0,0.0,-2.1213203435596424,-1.5811388300841898,11.313708498984761,-5.477225575051661,-6.0,4.949747468305833,3.6742346141747673,-11.74734012447073,0.0,-2.9154759474226504,-5.291502622129181,0.0,0.0,-2.0,10.793516572461451,5.70087712549569,0.0,3.4641016151377544,1.5275252316519468,-1.2909944487358056,9.237604307034012,-4.320493798938574,-4.760952285695233,4.08248290463863,-1.7320508075688772,-12.179217270963408,1.1547005383792515,-2.0816659994661326,-4.320493798938574,0.0,0.0,-1.632993161855452,7.505553499465135,3.1091263510296048,0.0,-4.6097722286464435,-2.692582403567252,-1.118033988749895,-4.123105625617661,-8.381527307120106,-5.408326913195984,-7.729812416870153,-8.139410298049853,-12.942179105544785,2.692582403567252,3.570714214271425,2.5,0.0,0.0,4.795831523312719,5.766281297335398,2.692582403567252,0.0
6,13.0,21.0,13.0,7.0,7.0,12.0,8.0,4.0,1.0,4.0,2.0,2.0,39.0,51.0,31.0,31.0,26.0,42.0,28.0,26.0,19.0,30.0,23.0,21.0,83.0,83.0,76.0,75.0,55.0,68.0,54.0,60.0,26.0,52.0,32.0,45.0,1033.0,1024.0,1033.0,1031.0,1028.0,1020.0,1029.0,1027.0,1021.0,1016.0,1025.0,1025.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,13.0,16.0,16.0,34.0,21.0,13.0,21.0,13.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,13.5,6.5,-0.5,38.0,24.0,18.5,79.0,52.0,24.0,1032.5,1028.0,1021.0,16.0,16.0,15.0,28.5,9.5,0.0,16.0,8.333333333333334,1.0,42.333333333333336,30.0,22.333333333333332,80.33333333333333,57.333333333333336,33.333333333333336,1029.6666666666667,1025.3333333333333,1019.3333333333334,16.0,16.0,14.333333333333334,26.0,8.333333333333334,0.0,-5.612486080160912,-3.605551275463989,-3.0,-8.602325267042627,-11.661903789690601,-7.810249675906654,-5.656854249492381,-10.124228365658293,-18.601075237738275,6.324555320336759,5.656854249492381,3.5355339059327378,0.0,0.0,1.5811388300841898,4.898979485566356,0.0,0.0,0.5773502691896257,-1.8257418583505538,-2.160246899469287,9.16515138991168,-5.033222956847166,-4.932882862316247,-2.23606797749979,-1.7320508075688772,-9.865765724632494,-0.5773502691896257,-2.3804761428476167,-4.320493798938574,0.0,0.0,-1.1547005383792515,6.110100926607787,2.309401076758503,0.0,3.0413812651491097,1.224744871391589,-1.8708286933869707,7.937253933193772,-4.242640687119285,-4.153311931459037,-1.8708286933869707,-3.3541019662496847,-10.735455276791944,0.8660254037844386,-1.8027756377319946,-3.7416573867739413,0.0,0.0,-1.0,3.4641016151377544,-2.23606797749979,0.0
