,Mean TemperatureC,Mean TemperatureC_1,Mean TemperatureC_2,Mean TemperatureC_3,Mean TemperatureC_4,Mean TemperatureC_5,MeanDew PointC_1,MeanDew PointC_2,MeanDew PointC_3,MeanDew PointC_4,MeanDew PointC_5, Mean Humidity_1, Mean Humidity_2, Mean Humidity_3, Mean Humidity_4, Mean Humidity_5, Min Humidity_1, Min Humidity_2, Min Humidity_3, Min Humidity_4, Min Humidity_5, Mean Sea Level PressurehPa_1, Mean Sea Level PressurehPa_2, Mean Sea Level PressurehPa_3, Mean Sea Level PressurehPa_4, Mean Sea Level PressurehPa_5, Mean VisibilityKm_1, Mean VisibilityKm_2, Mean VisibilityKm_3, Mean VisibilityKm_4, Mean VisibilityKm_5, Mean Wind SpeedKm/h_1, Mean Wind SpeedKm/h_2, Mean Wind SpeedKm/h_3, Mean Wind SpeedKm/h_4, Mean Wind SpeedKm/h_5,Precipitationmm_1,Precipitationmm_2,Precipitationmm_3,Precipitationmm_4,Precipitationmm_5, CloudCover_1, CloudCover_2, CloudCover_3, CloudCover_4, CloudCover_5,WindDirDegrees_1,WindDirDegrees_2,WindDirDegrees_3,WindDirDegrees_4,WindDirDegrees_5,Mean TemperatureCtrend_in_last3_days,MeanDew PointCtrend_in_last3_days,Mean TemperatureCtrend_in_last6_days,MeanDew PointCtrend_in_last6_days
6,0.0,3.0,0.0,3.0,3.0,3.0,-1.0,0.0,-3.0,1.0,3.0,82.0,95.0,63.0,85.0,92.0,57.0,86.0,49.0,70.0,71.0,1010.0,1008.0,1010.0,999.0,1003.0,10.0,5.0,10.0,10.0,9.0,5.0,6.0,19.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,6.0,5.0,64.0,2.0,284.0,256.0,143.0,-0.3333333333333333,0.05954426498469396,-0.20733615597604874,-0.19983325120163753
7,4.0,0.0,3.0,0.0,3.0,3.0,-1.0,-1.0,0.0,-3.0,1.0,93.0,82.0,95.0,63.0,85.0,75.0,57.0,86.0,49.0,70.0,1014.0,1010.0,1008.0,1010.0,999.0,7.0,10.0,5.0,10.0,10.0,2.0,5.0,6.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,2.0,6.0,43.0,64.0,2.0,284.0,256.0,0.4444444444444444,0.16976267166671355,0.0019943547145691914,-0.00552779306495242
8,10.0,4.0,0.0,3.0,0.0,3.0,4.0,-1.0,-1.0,0.0,-3.0,96.0,93.0,82.0,95.0,63.0,87.0,75.0,57.0,86.0,49.0,1005.0,1014.0,1010.0,1008.0,1010.0,8.0,7.0,10.0,5.0,10.0,8.0,2.0,5.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,7.0,2.0,273.0,43.0,64.0,2.0,284.0,0.8204971518465147,0.16976267166671355,0.20512428796162868,-2.8233662930495454e-05
9,8.0,10.0,4.0,0.0,3.0,0.0,3.0,4.0,-1.0,-1.0,0.0,65.0,96.0,93.0,82.0,95.0,44.0,87.0,75.0,57.0,86.0,1008.0,1005.0,1014.0,1010.0,1008.0,10.0,8.0,7.0,10.0,5.0,23.0,8.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,7.0,274.0,273.0,43.0,64.0,2.0,1.023655721262758,0.7804435822878882,0.047177677011586094,0.3177825585708584
10,10.0,8.0,10.0,4.0,0.0,3.0,5.0,3.0,4.0,-1.0,-1.0,83.0,65.0,96.0,93.0,82.0,63.0,44.0,87.0,75.0,57.0,1018.0,1008.0,1005.0,1014.0,1010.0,10.0,10.0,8.0,7.0,10.0,5.0,23.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,7.0,4.0,100.0,274.0,273.0,43.0,64.0,0.6666666666666665,0.3714606389452913,0.5499433047536864,0.2608647286580444
11,10.0,10.0,8.0,10.0,4.0,0.0,7.0,5.0,3.0,4.0,-1.0,90.0,83.0,65.0,96.0,93.0,67.0,63.0,44.0,87.0,75.0,1022.0,1018.0,1008.0,1005.0,1014.0,6.0,10.0,10.0,8.0,7.0,2.0,5.0,23.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,7.0,7.0,344.0,100.0,274.0,273.0,43.0,0.0,0.3714606389452913,0.20512428796162868,0.2608647286580444
12,9.0,10.0,10.0,8.0,10.0,4.0,6.0,7.0,5.0,3.0,4.0,84.0,90.0,83.0,65.0,96.0,55.0,67.0,63.0,44.0,87.0,1022.0,1022.0,1018.0,1008.0,1005.0,10.0,6.0,10.0,10.0,8.0,8.0,2.0,5.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,4.0,7.0,345.0,344.0,100.0,274.0,273.0,0.019063652805978888,-0.11111111111111102,0.33052720793239876,0.07565081002347833
13,6.0,9.0,10.0,10.0,8.0,10.0,4.0,6.0,7.0,5.0,3.0,75.0,84.0,90.0,83.0,65.0,38.0,55.0,67.0,63.0,44.0,1021.0,1022.0,1022.0,1018.0,1008.0,9.0,10.0,6.0,10.0,10.0,2.0,8.0,2.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,4.0,128.0,345.0,344.0,100.0,274.0,-0.8293446239041949,-1.6285393610547088,-0.002217798759245227,-0.1111111111111111
14,8.0,6.0,9.0,10.0,10.0,8.0,2.0,4.0,6.0,7.0,5.0,81.0,75.0,84.0,90.0,83.0,50.0,38.0,55.0,67.0,63.0,1020.0,1021.0,1022.0,1022.0,1018.0,9.0,9.0,10.0,6.0,10.0,2.0,2.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,5.0,35.0,128.0,345.0,344.0,100.0,-0.19296611164724534,-0.1335601143185875,-0.048241527911811334,0.014886066246173479
15,9.0,8.0,6.0,9.0,10.0,10.0,5.0,2.0,4.0,6.0,7.0,83.0,81.0,75.0,84.0,90.0,62.0,50.0,38.0,55.0,67.0,1019.0,1020.0,1021.0,1022.0,1022.0,10.0,9.0,9.0,10.0,6.0,3.0,2.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,1.0,3.0,16.0,35.0,128.0,345.0,344.0,0.05170511378245329,0.3333333333333334,0.033390028579646895,0.01488606624617349
