,Mean TemperatureC,Mean TemperatureC_1,Mean TemperatureC_2,Mean TemperatureC_3,Mean TemperatureC_4,Mean TemperatureC_5,MeanDew PointC_1,MeanDew PointC_2,MeanDew PointC_3,MeanDew PointC_4,MeanDew PointC_5, Mean Humidity_1, Mean Humidity_2, Mean Humidity_3, Mean Humidity_4, Mean Humidity_5, Min Humidity_1, Min Humidity_2, Min Humidity_3, Min Humidity_4, Min Humidity_5, Mean Sea Level PressurehPa_1, Mean Sea Level PressurehPa_2, Mean Sea Level PressurehPa_3, Mean Sea Level PressurehPa_4, Mean Sea Level PressurehPa_5, Mean VisibilityKm_1, Mean VisibilityKm_2, Mean VisibilityKm_3, Mean VisibilityKm_4, Mean VisibilityKm_5, Mean Wind SpeedKm/h_1, Mean Wind SpeedKm/h_2, Mean Wind SpeedKm/h_3, Mean Wind SpeedKm/h_4, Mean Wind SpeedKm/h_5,Precipitationmm_1,Precipitationmm_2,Precipitationmm_3,Precipitationmm_4,Precipitationmm_5, CloudCover_1, CloudCover_2, CloudCover_3, CloudCover_4, CloudCover_5,WindDirDegrees_1,WindDirDegrees_2,WindDirDegrees_3,WindDirDegrees_4,WindDirDegrees_5
5,3.0,0.0,3.0,3.0,3.0,4.0,0.0,-3.0,1.0,3.0,3.0,95.0,63.0,85.0,92.0,95.0,86.0,49.0,70.0,71.0,76.0,1008.0,1010.0,999.0,1003.0,1008.0,5.0,10.0,10.0,9.0,9.0,6.0,19.0,19.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,5.0,6.0,2.0,284.0,256.0,143.0,229.0
6,0.0,3.0,0.0,3.0,3.0,3.0,-1.0,0.0,-3.0,1.0,3.0,82.0,95.0,63.0,85.0,92.0,57.0,86.0,49.0,70.0,71.0,1010.0,1008.0,1010.0,999.0,1003.0,10.0,5.0,10.0,10.0,9.0,5.0,6.0,19.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,6.0,5.0,64.0,2.0,284.0,256.0,143.0
7,4.0,0.0,3.0,0.0,3.0,3.0,-1.0,-1.0,0.0,-3.0,1.0,93.0,82.0,95.0,63.0,85.0,75.0,57.0,86.0,49.0,70.0,1014.0,1010.0,1008.0,1010.0,999.0,7.0,10.0,5.0,10.0,10.0,2.0,5.0,6.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,2.0,6.0,43.0,64.0,2.0,284.0,256.0
8,10.0,4.0,0.0,3.0,0.0,3.0,4.0,-1.0,-1.0,0.0,-3.0,96.0,93.0,82.0,95.0,63.0,87.0,75.0,57.0,86.0,49.0,1005.0,1014.0,1010.0,1008.0,1010.0,8.0,7.0,10.0,5.0,10.0,8.0,2.0,5.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,7.0,2.0,273.0,43.0,64.0,2.0,284.0
9,8.0,10.0,4.0,0.0,3.0,0.0,3.0,4.0,-1.0,-1.0,0.0,65.0,96.0,93.0,82.0,95.0,44.0,87.0,75.0,57.0,86.0,1008.0,1005.0,1014.0,1010.0,1008.0,10.0,8.0,7.0,10.0,5.0,23.0,8.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,7.0,274.0,273.0,43.0,64.0,2.0
10,10.0,8.0,10.0,4.0,0.0,3.0,5.0,3.0,4.0,-1.0,-1.0,83.0,65.0,96.0,93.0,82.0,63.0,44.0,87.0,75.0,57.0,1018.0,1008.0,1005.0,1014.0,1010.0,10.0,10.0,8.0,7.0,10.0,5.0,23.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,7.0,4.0,100.0,274.0,273.0,43.0,64.0
11,10.0,10.0,8.0,10.0,4.0,0.0,7.0,5.0,3.0,4.0,-1.0,90.0,83.0,65.0,96.0,93.0,67.0,63.0,44.0,87.0,75.0,1022.0,1018.0,1008.0,1005.0,1014.0,6.0,10.0,10.0,8.0,7.0,2.0,5.0,23.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,7.0,7.0,344.0,100.0,274.0,273.0,43.0
12,9.0,10.0,10.0,8.0,10.0,4.0,6.0,7.0,5.0,3.0,4.0,84.0,90.0,83.0,65.0,96.0,55.0,67.0,63.0,44.0,87.0,1022.0,1022.0,1018.0,1008.0,1005.0,10.0,6.0,10.0,10.0,8.0,8.0,2.0,5.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,4.0,7.0,345.0,344.0,100.0,274.0,273.0
13,6.0,9.0,10.0,10.0,8.0,10.0,4.0,6.0,7.0,5.0,3.0,75.0,84.0,90.0,83.0,65.0,38.0,55.0,67.0,63.0,44.0,1021.0,1022.0,1022.0,1018.0,1008.0,9.0,10.0,6.0,10.0,10.0,2.0,8.0,2.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,4.0,128.0,345.0,344.0,100.0,274.0
14,8.0,6.0,9.0,10.0,10.0,8.0,2.0,4.0,6.0,7.0,5.0,81.0,75.0,84.0,90.0,83.0,50.0,38.0,55.0,67.0,63.0,1020.0,1021.0,1022.0,1022.0,1018.0,9.0,9.0,10.0,6.0,10.0,2.0,2.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,5.0,35.0,128.0,345.0,344.0,100.0
