CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
01-01-97,7,4,2,5,3,2,100,95,76,1010,1008,1004,10,9,4,13,6,,0,6,,229
02-01-97,7,3,0,6,3,0,100,92,71,1007,1003,997,10,9,4,26,8,47,0,5,Rain,143
03-01-97,5,3,2,5,1,-1,100,85,70,1005,999,996,10,10,7,27,19,,0,6,Rain-Snow,256
04-01-97,7,3,-1,-2,-3,-4,86,63,49,1012,1010,1005,10,10,10,27,19,40,0,2,,284
05-01-97,2,0,-1,2,0,-3,100,95,86,1012,1008,1005,10,5,1,14,6,,0,7,Snow,2
06-01-97,7,3,1,2,-1,-3,100,82,57,1014,1010,1008,10,10,10,11,5,,0,4,,64
07-01-97,2,0,-2,1,-1,-3,100,93,75,1016,1014,1009,10,7,0,6,2,,0,7,Snow,43
08-01-97,8,4,1,7,4,1,100,96,87,1015,1005,1003,10,8,4,26,8,,0,7,Rain,273
09-01-97,12,10,8,8,3,0,100,65,44,1015,1008,1003,10,10,10,48,23,48,0,4,Rain,274
10-01-97,13,8,3,8,5,1,93,83,63,1021,1018,1016,10,10,10,13,5,,0,5,,100
11-01-97,16,10,5,10,7,5,100,90,67,1024,1022,1021,10,6,0,11,2,,0,3,Fog,344
12-01-97,17,10,3,8,6,3,100,84,55,1024,1022,1020,10,10,10,14,8,,0,1,,345
13-01-97,15,9,4,9,4,-1,100,75,38,1022,1021,1019,10,9,3,11,2,,0,4,Fog,128
14-01-97,11,6,0,4,2,0,100,81,50,1022,1020,1019,10,9,1,14,2,,0,4,,35
15-01-97,11,8,5,7,5,4,100,83,62,1021,1019,1018,10,10,8,10,3,,0,6,Rain,16
16-01-97,12,9,6,8,7,6,100,89,72,1019,1017,1015,10,10,10,24,5,,0,6,,63
17-01-97,13,9,5,9,5,1,100,78,47,1022,1018,1015,10,10,7,27,13,,0,4,Rain,267
18-01-97,6,3,2,6,4,2,100,98,93,1022,1019,1015,10,7,3,8,2,,0,6,Rain,357
