ELEVATION,LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection
42.7,40.77898,-73.96925,06-05-18 23:59,66,56,61,1.4,,,,4,0,447,1858,T,0,0,29.83,3.8,22,70,14,70
42.7,40.77898,-73.96925,05-05-18 23:59,76,61,68,8.7,,,,0,3,449,1857,T,0,0,29.88,4.8,26,290,14,310
42.7,40.77898,-73.96925,04-05-18 23:59,84,72,78,19,,,,0,13,450,1856,T,0,0,29.74,3.5,30,250,18,280
42.7,40.77898,-73.96925,03-05-18 23:59,92,70,81,22.3,,,,0,16,451,1855,0.02,0,0,29.84,5.4,28,250,15,250
42.7,40.77898,-73.96925,02-05-18 23:59,90,65,78,19.6,,,,0,13,452,1854,0,0,0,29.88,5.4,31,260,16,250
42.7,40.77898,-73.96925,01-05-18 23:59,80,48,64,5.9,,,,1,0,453,1853,0,0,0,29.9,4.3,21,330,14,320
42.7,40.77898,-73.96925,30-04-18 23:59,51,44,48,-9.8,,,,17,0,455,1852,T,0,0,29.87,,28,320,16,310
42.7,40.77898,-73.96925,29-04-18 23:59,59,47,53,-4.5,,,,12,0,456,1851,0.08,0,0,29.78,5.7,25,290,15,310
42.7,40.77898,-73.96925,28-04-18 23:59,68,50,59,1.8,,,,6,0,457,1850,0.1,0,0,29.68,3.4,23,160,14,160
42.7,40.77898,-73.96925,27-04-18 23:59,59,51,55,-1.9,,,,10,0,459,1849,0.05,0,0,29.64,2.4,17,110,10,90
42.7,40.77898,-73.96925,26-04-18 23:59,70,55,62,5.4,,,,3,0,500,1848,0.1,0,0,29.55,4.8,22,280,15,290
42.7,40.77898,-73.96925,25-04-18 23:59,60,52,56,-0.3,,,,9,0,501,1847,0.95,0,0,29.66,3.9,20,150,12,150
42.7,40.77898,-73.96925,24-04-18 23:59,66,46,56,0,,,,9,0,503,1846,0.05,0,0,30.19,4.3,23,170,15,170
42.7,40.77898,-73.96925,23-04-18 23:59,68,46,57,1.4,,,,8,0,504,1845,0,0,0,30.3,4.5,21,150,15,160
42.7,40.77898,-73.96925,22-04-18 23:59,67,44,56,0.7,,,,9,0,506,1844,0,0,0,30.23,4.2,23,170,13,180
42.7,40.77898,-73.96925,21-04-18 23:59,63,39,51,-4,,,,14,0,507,1842,0,0,0,30.2,5.8,22,280,15,280
42.7,40.77898,-73.96925,20-04-18 23:59,50,37,44,-10.7,,,,21,0,508,1841,0,0,0,30.05,8.5,30,300,20,310
