,1,2,3,4,5,6,7,8,9,10,11,12,13,14
madrid forest 0,18.12,32.89,42.14,43.39,42.07,42.58,38.28,40.93,38.65,37.03,35.78,36.54,31.84,32.21
austin forest 0,8.5,10.17,16.34,14.52,18.87,15.38,15.93,15.94,14.43,15.05,13.99,14.46,14.55,12.72
madrid tree 0,16.65,50.15,77.09,76.51,75.33,76.28,75.17,76.63,76.19,74.8,75.31,74.85,76.91,75.74
austin tree 0,8.27,19.97,47.26,46.01,46.19,41.13,43.6,45.61,43.44,43.7,44.42,40.24,43.49,46.28
madrid forest 1,52.9,69.6,83.7,83.41,83.19,82.89,82.51,81.12,80.82,79.79,79.43,79.56,75.15,75.96
austin forest 1,24.13,27.64,41.41,39.62,46.73,41.43,38.03,40.96,38.93,40.11,38.23,37.64,39.59,34.56
madrid tree 1,42.04,79.44,95.59,95.45,94.93,95.15,95.22,95.96,94.56,94.86,94.78,95.07,95.66,94.41
austin tree 1,24.51,43.81,76.44,75.51,76.03,69.38,73.48,74.98,72.44,74.18,73.39,70.93,72.97,74.48
madrid forest 2,74.83,89.57,96.92,97.36,96.84,95.89,96.55,96.62,95.89,95.22,94.56,94.41,93.16,93.01
austin forest 2,36.8,42.22,60.79,58.63,68.8,64.36,60.75,63.62,60.46,63.94,59.63,59.83,61.18,55.4
madrid tree 2,65.44,93.39,99.27,99.19,99.05,99.05,98.82,98.97,98.82,98.6,98.53,98.68,98.75,98.68
austin tree 2,39.76,62.03,88.53,87.98,88.13,82.41,85.44,87.03,86.26,87.78,87.84,82.1,87.37,87.28
madrid forest 3,87.31,96.48,99.05,99.41,99.63,99.56,99.41,99.71,99.34,98.9,99.19,99.12,98.31,98.82
austin forest 3,46.13,54.37,76.75,74.37,84.55,80.65,76.68,80.85,75.27,79.76,77.91,75.98,78.1,71.88
madrid tree 3,79.75,98.16,99.93,99.93,99.93,99.85,99.63,99.85,99.56,99.71,99.78,99.93,99.78,99.93
austin tree 3,53.72,74.56,96.5,96.2,96.65,91.55,93.83,95.96,96.41,96.72,97.4,92.35,96.78,96.4
