,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
0,8,8.000000000000004,0.0,1,1,1,1
1,10,9.99999999999995,0.0,1,1,1,1
2,9,8.99999999999998,0.0,1,1,1,1
3,12,11.99999999999998,0.0,1,1,1,1
4,11,10.999999999999998,0.0,1,1,1,1
5,10,9.999999999999998,0.0,1,1,1,1
6,4,3.9999999999999947,0.0,1,1,1,1
7,8,7.999999999999908,0.0,1,1,1,1
8,12,11.999999999999975,0.0,1,1,1,1
9,7,7.000000000000031,0.0,1,1,1,1
10,6,5.999999999999957,0.0,1,1,1,1
11,14,13.99999999999995,0.0,1,1,1,1
12,8,8.000000000000043,0.0,1,1,1,1
13,-2,-2.000000000000057,0.0,1,1,1,1
14,2,1.9999999999998432,0.0,1,1,1,1
15,8,7.999999999999838,0.0,1,1,1,1
16,17,16.99999999999995,0.0,1,1,1,1
17,18,18.00000000000007,0.0,1,1,1,1
18,17,17.000000000000142,0.0,1,1,1,1
19,14,14.000000000000043,0.0,1,1,1,1
20,14,14.00000000000001,0.0,1,1,1,1
21,14,14.00000000000002,0.0,1,1,1,1
22,11,10.999999999999995,0.0,1,1,1,1
23,13,12.999999999999975,0.0,1,1,1,1
24,12,11.999999999999995,0.0,1,1,1,1
25,12,11.999999999999966,0.0,1,1,1,1
26,15,15.0,0.0,1,1,1,1
27,18,17.99999999999998,0.0,1,1,1,1
28,11,11.000000000000021,0.0,1,1,1,1
29,12,11.999999999999964,0.0,1,1,1,1
30,6,5.999999999999932,0.0,1,1,1,1
31,1,0.9999999999999194,0.0,1,1,1,1
32,9,8.999999999999869,0.0,1,1,1,1
33,16,16.0,0.0,1,1,1,1
34,8,8.00000000000008,0.0,1,1,1,1
35,1,0.9999999999999505,0.0,1,1,1,1
36,3,2.9999999999998765,0.0,1,1,1,1
37,9,8.999999999999917,0.0,1,1,1,1
38,20,19.999999999999993,0.0,1,1,1,1
39,19,19.000000000000057,0.0,1,1,1,1
40,7,7.0000000000000195,0.0,1,1,1,1
41,4,3.999999999999895,0.0,1,1,1,1
42,12,11.999999999999911,0.0,1,1,1,1
43,4,3.9999999999999742,0.0,1,1,1,1
44,-2,-2.0000000000000613,0.0,1,1,1,1
45,1,0.9999999999998859,0.0,1,1,1,1
46,11,10.999999999999895,0.0,1,1,1,1
47,15,14.999999999999993,0.0,1,1,1,1
48,9,9.000000000000048,0.0,1,1,1,1
49,2,1.999999999999956,0.0,1,1,1,1
50,7,6.999999999999916,0.0,1,1,1,1
51,11,10.999999999999973,0.0,1,1,1,1
52,19,19.000000000000064,0.0,1,1,1,1
53,15,15.000000000000059,0.0,1,1,1,1
54,20,20.00000000000002,0.0,1,1,1,1
55,21,21.00000000000005,0.0,1,1,1,1
56,21,21.00000000000002,0.0,1,1,1,1
57,23,23.000000000000064,0.0,1,1,1,1
58,21,21.000000000000078,0.0,1,1,1,1
59,14,14.000000000000052,0.0,1,1,1,1
60,17,16.999999999999986,0.0,1,1,1,1
61,23,23.000000000000007,0.0,1,1,1,1
62,19,19.000000000000085,0.0,1,1,1,1
63,17,17.00000000000003,0.0,1,1,1,1
64,7,7.000000000000022,0.0,1,1,1,1
65,7,6.999999999999932,0.0,1,1,1,1
66,17,16.999999999999986,0.0,1,1,1,1
67,20,20.000000000000092,0.0,1,1,1,1
68,11,11.000000000000073,0.0,1,1,1,1
69,2,1.9999999999999925,0.0,1,1,1,1
70,4,3.999999999999906,0.0,1,1,1,1
71,8,7.999999999999934,0.0,1,1,1,1
72,12,12.000000000000016,0.0,1,1,1,1
73,12,12.000000000000014,0.0,1,1,1,1
74,11,11.00000000000002,0.0,1,1,1,1
75,9,8.999999999999991,0.0,1,1,1,1
76,16,15.999999999999977,0.0,1,1,1,1
77,21,21.000000000000107,0.0,1,1,1,1
78,16,16.000000000000085,0.0,1,1,1,1
79,11,10.999999999999998,0.0,1,1,1,1
80,17,16.999999999999943,0.0,1,1,1,1
81,20,20.000000000000007,0.0,1,1,1,1
82,13,13.000000000000052,0.0,1,1,1,1
83,13,12.999999999999986,0.0,1,1,1,1
84,18,18.000000000000014,0.0,1,1,1,1
85,17,17.000000000000014,0.0,1,1,1,1
86,15,15.000000000000002,0.0,1,1,1,1
87,19,18.99999999999998,0.0,1,1,1,1
88,21,21.000000000000064,0.0,1,1,1,1
89,12,12.000000000000039,0.0,1,1,1,1
90,14,13.99999999999995,0.0,1,1,1,1
91,14,14.000000000000005,0.0,1,1,1,1
92,16,16.000000000000007,0.0,1,1,1,1
93,22,21.999999999999993,0.0,1,1,1,1
94,24,24.000000000000085,0.0,1,1,1,1
95,18,18.000000000000078,0.0,1,1,1,1
96,17,17.000000000000014,0.0,1,1,1,1
97,23,23.0,0.0,1,1,1,1
98,24,24.00000000000005,0.0,1,1,1,1
99,24,24.000000000000064,0.0,1,1,1,1
100,25,25.00000000000007,0.0,1,1,1,1
101,18,18.000000000000107,0.0,1,1,1,1
102,16,15.999999999999977,0.0,1,1,1,1
103,14,13.99999999999999,0.0,1,1,1,1
104,17,16.999999999999986,0.0,1,1,1,1
105,18,18.00000000000005,0.0,1,1,1,1
106,18,18.000000000000064,0.0,1,1,1,1
107,22,22.000000000000092,0.0,1,1,1,1
108,23,23.000000000000064,0.0,1,1,1,1
109,24,24.000000000000064,0.0,1,1,1,1
110,23,23.000000000000064,0.0,1,1,1,1
111,14,14.000000000000062,0.0,1,1,1,1
112,11,11.000000000000023,0.0,1,1,1,1
113,14,13.99999999999999,0.0,1,1,1,1
114,17,17.000000000000092,0.0,1,1,1,1
115,21,21.000000000000014,0.0,1,1,1,1
116,19,19.000000000000057,0.0,1,1,1,1
117,20,20.000000000000085,0.0,1,1,1,1
118,23,23.00000000000005,0.0,1,1,1,1
119,24,24.000000000000085,0.0,1,1,1,1
120,23,23.000000000000078,0.0,1,1,1,1
121,26,26.000000000000064,0.0,1,1,1,1
122,24,24.000000000000092,0.0,1,1,1,1
123,25,25.00000000000005,0.0,1,1,1,1
124,29,29.000000000000078,0.0,1,1,1,1
125,27,27.000000000000142,0.0,1,1,1,1
126,22,22.00000000000007,0.0,1,1,1,1
127,19,19.000000000000014,0.0,1,1,1,1
128,18,18.0,0.0,1,1,1,1
129,21,21.000000000000007,0.0,1,1,1,1
130,24,24.000000000000043,0.0,1,1,1,1
131,24,24.00000000000007,0.0,1,1,1,1
132,24,24.000000000000014,0.0,1,1,1,1
133,24,24.000000000000036,0.0,1,1,1,1
134,26,26.00000000000007,0.0,1,1,1,1
135,26,26.000000000000057,0.0,1,1,1,1
136,24,24.000000000000064,0.0,1,1,1,1
137,24,24.000000000000064,0.0,1,1,1,1
138,28,28.000000000000085,0.0,1,1,1,1
139,22,22.0000000000001,0.0,1,1,1,1
140,16,16.0000000000001,0.0,1,1,1,1
141,18,18.000000000000078,0.0,1,1,1,1
142,18,18.00000000000029,0.0,1,1,1,1
143,23,23.00000000000015,0.0,1,1,1,1
144,23,23.000000000000078,0.0,1,1,1,1
145,23,23.00000000000005,0.0,1,1,1,1
146,24,24.000000000000043,0.0,1,1,1,1
147,26,26.000000000000078,0.0,1,1,1,1
148,27,27.000000000000078,0.0,1,1,1,1
149,26,26.000000000000064,0.0,1,1,1,1
150,26,26.000000000000092,0.0,1,1,1,1
151,26,26.000000000000036,0.0,1,1,1,1
152,27,27.000000000000085,0.0,1,1,1,1
153,21,21.000000000000107,0.0,1,1,1,1
154,20,20.000000000000114,0.0,1,1,1,1
155,24,24.000000000000135,0.0,1,1,1,1
156,26,26.000000000000256,0.0,1,1,1,1
157,27,27.000000000000256,0.0,1,1,1,1
158,28,28.000000000000114,0.0,1,1,1,1
159,27,27.000000000000092,0.0,1,1,1,1
160,28,28.000000000000064,0.0,1,1,1,1
161,28,28.000000000000078,0.0,1,1,1,1
162,28,28.000000000000107,0.0,1,1,1,1
163,28,28.0000000000001,0.0,1,1,1,1
164,28,28.0000000000001,0.0,1,1,1,1
165,28,28.000000000000092,0.0,1,1,1,1
166,28,28.000000000000114,0.0,1,1,1,1
167,25,25.000000000000092,0.0,1,1,1,1
168,26,26.000000000000092,0.0,1,1,1,1
169,27,27.0000000000001,0.0,1,1,1,1
170,27,27.000000000000135,0.0,1,1,1,1
171,26,26.000000000000135,0.0,1,1,1,1
172,33,33.000000000000114,0.0,1,1,1,1
173,28,28.000000000000206,0.0,1,1,1,1
174,29,29.00000000000007,0.0,1,1,1,1
175,29,29.000000000000114,0.0,1,1,1,1
176,29,29.000000000000092,0.0,1,1,1,1
177,29,29.000000000000085,0.0,1,1,1,1
178,28,28.000000000000107,0.0,1,1,1,1
179,29,29.000000000000092,0.0,1,1,1,1
180,28,28.0000000000001,0.0,1,1,1,1
181,26,26.000000000000092,0.0,1,1,1,1
182,29,29.000000000000092,0.0,1,1,1,1
183,27,27.000000000000114,0.0,1,1,1,1
184,27,27.000000000000114,0.0,1,1,1,1
185,28,28.0000000000001,0.0,1,1,1,1
186,30,30.000000000000135,0.0,1,1,1,1
187,30,30.000000000000114,0.0,1,1,1,1
188,31,31.000000000000092,0.0,1,1,1,1
189,30,30.00000000000012,0.0,1,1,1,1
190,29,29.00000000000012,0.0,1,1,1,1
191,29,29.0000000000001,0.0,1,1,1,1
192,28,28.0000000000001,0.0,1,1,1,1
193,28,28.00000000000007,0.0,1,1,1,1
194,29,29.0000000000001,0.0,1,1,1,1
195,29,29.00000000000012,0.0,1,1,1,1
196,30,30.000000000000114,0.0,1,1,1,1
197,29,29.00000000000012,0.0,1,1,1,1
198,29,29.000000000000114,0.0,1,1,1,1
199,28,28.000000000000107,0.0,1,1,1,1
200,29,29.000000000000107,0.0,1,1,1,1
201,31,31.000000000000107,0.0,1,1,1,1
202,31,31.00000000000012,0.0,1,1,1,1
203,28,28.000000000000107,0.0,1,1,1,1
