,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
5447,12.0,12.000000000000004,0.0,1,1,1,1
5448,14.0,14.000000000000055,0.0,1,1,1,1
5449,12.0,11.999999999999988,0.0,1,1,1,1
5450,12.0,11.999999999999984,0.0,1,1,1,1
5451,10.0,10.000000000000032,0.0,1,1,1,1
5452,11.0,11.000000000000025,0.0,1,1,1,1
5453,8.0,8.000000000000016,0.0,1,1,1,1
5454,9.0,8.999999999999993,0.0,1,1,1,1
5455,10.0,10.000000000000018,0.0,1,1,1,1
5456,11.0,11.000000000000025,0.0,1,1,1,1
5457,12.0,12.000000000000009,0.0,1,1,1,1
5458,14.0,14.000000000000034,0.0,1,1,1,1
5459,13.0,13.000000000000066,0.0,1,1,1,1
5460,13.0,13.000000000000064,0.0,1,1,1,1
5461,12.0,12.000000000000055,0.0,1,1,1,1
5462,12.0,12.00000000000006,0.0,1,1,1,1
5463,13.0,13.000000000000027,0.0,1,1,1,1
5464,13.0,13.00000000000004,0.0,1,1,1,1
5465,14.0,14.000000000000034,0.0,1,1,1,1
5466,10.0,10.000000000000073,0.0,1,1,1,1
5467,9.0,9.000000000000044,0.0,1,1,1,1
5468,10.0,10.000000000000052,0.0,1,1,1,1
5469,9.0,9.000000000000068,0.0,1,1,1,1
5470,11.0,11.000000000000057,0.0,1,1,1,1
5471,12.0,12.000000000000073,0.0,1,1,1,1
5472,12.0,12.000000000000087,0.0,1,1,1,1
5473,12.0,12.000000000000055,0.0,1,1,1,1
5474,13.0,13.000000000000078,0.0,1,1,1,1
5475,13.0,13.000000000000085,0.0,1,1,1,1
5476,18.0,18.000000000000078,0.0,1,1,1,1
5477,18.0,18.000000000000107,0.0,1,1,1,1
5478,21.0,21.000000000000092,0.0,1,1,1,1
5479,23.0,23.000000000000142,0.0,1,1,1,1
5480,24.0,24.000000000000092,0.0,1,1,1,1
5481,23.0,23.000000000000043,0.0,1,1,1,1
5482,22.0,22.000000000000007,0.0,1,1,1,1
5483,21.0,21.000000000000085,0.0,1,1,1,1
5484,20.0,20.000000000000057,0.0,1,1,1,1
5485,22.0,22.000000000000057,0.0,1,1,1,1
5486,21.0,21.000000000000043,0.0,1,1,1,1
5487,18.0,18.00000000000003,0.0,1,1,1,1
5488,13.0,12.999999999999996,0.0,1,1,1,1
5489,12.0,12.000000000000004,0.0,1,1,1,1
5490,16.0,16.00000000000003,0.0,1,1,1,1
5491,19.0,19.000000000000085,0.0,1,1,1,1
5492,22.0,22.0000000000001,0.0,1,1,1,1
5493,23.0,23.0000000000001,0.0,1,1,1,1
5494,20.0,20.000000000000057,0.0,1,1,1,1
5495,19.0,19.000000000000014,0.0,1,1,1,1
5496,22.0,22.0000000000001,0.0,1,1,1,1
5497,22.0,22.000000000000036,0.0,1,1,1,1
5498,23.0,23.000000000000085,0.0,1,1,1,1
5499,24.0,24.000000000000057,0.0,1,1,1,1
5500,25.0,25.000000000000078,0.0,1,1,1,1
5501,23.0,23.000000000000092,0.0,1,1,1,1
5502,23.0,23.000000000000078,0.0,1,1,1,1
5503,21.0,21.00000000000002,0.0,1,1,1,1
5504,24.0,24.00000000000007,0.0,1,1,1,1
5505,24.0,24.00000000000005,0.0,1,1,1,1
5506,23.0,23.00000000000003,0.0,1,1,1,1
5507,19.0,19.00000000000002,0.0,1,1,1,1
5508,19.0,19.00000000000005,0.0,1,1,1,1
5509,23.0,23.000000000000036,0.0,1,1,1,1
5510,22.0,22.000000000000085,0.0,1,1,1,1
5511,18.0,18.000000000000036,0.0,1,1,1,1
5512,19.0,19.00000000000007,0.0,1,1,1,1
5513,22.0,22.000000000000057,0.0,1,1,1,1
5514,23.0,23.0000000000001,0.0,1,1,1,1
5515,23.0,23.000000000000057,0.0,1,1,1,1
5516,24.0,24.000000000000064,0.0,1,1,1,1
5517,23.0,23.000000000000057,0.0,1,1,1,1
5518,22.0,22.00000000000002,0.0,1,1,1,1
5519,22.0,22.000000000000043,0.0,1,1,1,1
5520,24.0,24.000000000000107,0.0,1,1,1,1
5521,23.0,23.000000000000128,0.0,1,1,1,1
5522,26.0,26.000000000000085,0.0,1,1,1,1
5523,27.0,27.0000000000001,0.0,1,1,1,1
5524,30.0,30.00000000000007,0.0,1,1,1,1
5525,31.0,31.000000000000085,0.0,1,1,1,1
5526,31.0,31.000000000000064,0.0,1,1,1,1
5527,29.0,29.00000000000005,0.0,1,1,1,1
5528,26.0,26.00000000000007,0.0,1,1,1,1
5529,22.0,22.00000000000007,0.0,1,1,1,1
5530,21.0,21.00000000000005,0.0,1,1,1,1
5531,21.0,21.000000000000057,0.0,1,1,1,1
5532,24.0,24.000000000000043,0.0,1,1,1,1
5533,24.0,24.000000000000092,0.0,1,1,1,1
5534,22.0,22.00000000000005,0.0,1,1,1,1
5535,22.0,22.000000000000043,0.0,1,1,1,1
5536,23.0,23.000000000000057,0.0,1,1,1,1
5537,23.0,23.000000000000078,0.0,1,1,1,1
5538,23.0,23.000000000000043,0.0,1,1,1,1
5539,22.0,22.00000000000005,0.0,1,1,1,1
5540,22.0,22.000000000000043,0.0,1,1,1,1
5541,23.0,23.000000000000014,0.0,1,1,1,1
5542,25.0,25.00000000000005,0.0,1,1,1,1
5543,25.0,25.000000000000114,0.0,1,1,1,1
5544,23.0,23.00000000000002,0.0,1,1,1,1
5545,26.0,26.000000000000057,0.0,1,1,1,1
5546,28.0,28.0000000000001,0.0,1,1,1,1
5547,28.0,28.000000000000107,0.0,1,1,1,1
5548,28.0,28.000000000000078,0.0,1,1,1,1
5549,26.0,26.00000000000003,0.0,1,1,1,1
5550,27.0,27.000000000000078,0.0,1,1,1,1
5551,27.0,27.000000000000092,0.0,1,1,1,1
5552,26.0,26.000000000000036,0.0,1,1,1,1
5553,27.0,27.000000000000092,0.0,1,1,1,1
5554,28.0,28.00000000000007,0.0,1,1,1,1
5555,27.0,27.00000000000007,0.0,1,1,1,1
5556,24.0,24.0000000000001,0.0,1,1,1,1
5557,23.0,23.000000000000092,0.0,1,1,1,1
5558,25.0,25.000000000000142,0.0,1,1,1,1
5559,26.0,26.00000000000012,0.0,1,1,1,1
5560,27.0,27.000000000000107,0.0,1,1,1,1
5561,24.0,24.0000000000001,0.0,1,1,1,1
5562,25.0,25.00000000000003,0.0,1,1,1,1
5563,27.0,27.00000000000005,0.0,1,1,1,1
5564,25.0,25.00000000000005,0.0,1,1,1,1
5565,23.0,23.00000000000003,0.0,1,1,1,1
5566,22.0,22.00000000000003,0.0,1,1,1,1
5567,25.0,25.00000000000005,0.0,1,1,1,1
5568,27.0,27.0000000000001,0.0,1,1,1,1
5569,29.0,29.00000000000012,0.0,1,1,1,1
5570,30.0,30.00000000000012,0.0,1,1,1,1
5571,29.0,29.000000000000092,0.0,1,1,1,1
5572,26.0,26.000000000000036,0.0,1,1,1,1
5573,24.0,24.000000000000043,0.0,1,1,1,1
5574,24.0,24.000000000000043,0.0,1,1,1,1
5575,23.0,23.000000000000036,0.0,1,1,1,1
5576,24.0,24.00000000000003,0.0,1,1,1,1
5577,28.0,28.00000000000007,0.0,1,1,1,1
5578,29.0,29.000000000000178,0.0,1,1,1,1
5579,31.0,31.000000000000092,0.0,1,1,1,1
5580,29.0,29.000000000000064,0.0,1,1,1,1
5581,29.0,29.00000000000007,0.0,1,1,1,1
5582,28.0,28.000000000000064,0.0,1,1,1,1
5583,26.0,26.00000000000003,0.0,1,1,1,1
5584,23.0,23.00000000000002,0.0,1,1,1,1
5585,25.0,25.000000000000036,0.0,1,1,1,1
5586,23.0,23.000000000000057,0.0,1,1,1,1
5587,24.0,24.000000000000043,0.0,1,1,1,1
5588,23.0,23.0000000000001,0.0,1,1,1,1
5589,24.0,24.000000000000064,0.0,1,1,1,1
5590,26.0,26.000000000000036,0.0,1,1,1,1
5591,20.0,20.00000000000003,0.0,1,1,1,1
5592,18.0,18.00000000000003,0.0,1,1,1,1
5593,19.0,19.00000000000002,0.0,1,1,1,1
5594,21.0,21.00000000000003,0.0,1,1,1,1
5595,22.0,22.000000000000007,0.0,1,1,1,1
5596,22.0,22.00000000000002,0.0,1,1,1,1
5597,23.0,23.000000000000092,0.0,1,1,1,1
5598,24.0,24.000000000000064,0.0,1,1,1,1
5599,25.0,25.000000000000085,0.0,1,1,1,1
5600,22.0,22.000000000000085,0.0,1,1,1,1
5601,22.0,22.00000000000007,0.0,1,1,1,1
5602,22.0,22.000000000000078,0.0,1,1,1,1
5603,23.0,23.000000000000107,0.0,1,1,1,1
5604,20.0,20.000000000000092,0.0,1,1,1,1
5605,21.0,21.000000000000007,0.0,1,1,1,1
5606,23.0,23.000000000000057,0.0,1,1,1,1
5607,22.0,22.00000000000007,0.0,1,1,1,1
5608,23.0,23.000000000000043,0.0,1,1,1,1
5609,22.0,22.00000000000003,0.0,1,1,1,1
5610,24.0,24.00000000000003,0.0,1,1,1,1
5611,23.0,23.000000000000036,0.0,1,1,1,1
5612,23.0,23.000000000000057,0.0,1,1,1,1
5613,23.0,23.000000000000092,0.0,1,1,1,1
5614,22.0,22.000000000000078,0.0,1,1,1,1
5615,18.0,18.000000000000078,0.0,1,1,1,1
5616,16.0,16.00000000000005,0.0,1,1,1,1
5617,16.0,16.00000000000005,0.0,1,1,1,1
5618,13.0,13.000000000000057,0.0,1,1,1,1
5619,14.0,14.000000000000048,0.0,1,1,1,1
5620,16.0,16.000000000000078,0.0,1,1,1,1
5621,14.0,14.000000000000089,0.0,1,1,1,1
5622,15.0,15.000000000000195,0.0,1,1,1,1
5623,16.0,16.000000000000114,0.0,1,1,1,1
5624,17.0,17.000000000000092,0.0,1,1,1,1
5625,17.0,17.000000000000036,0.0,1,1,1,1
5626,18.0,18.000000000000078,0.0,1,1,1,1
5627,17.0,17.000000000000092,0.0,1,1,1,1
5628,20.0,20.000000000000043,0.0,1,1,1,1
5629,21.0,21.000000000000064,0.0,1,1,1,1
5630,20.0,20.000000000000092,0.0,1,1,1,1
5631,20.0,20.0000000000001,0.0,1,1,1,1
5632,20.0,20.000000000000057,0.0,1,1,1,1
5633,17.0,17.00000000000005,0.0,1,1,1,1
5634,16.0,16.000000000000064,0.0,1,1,1,1
5635,13.0,13.000000000000078,0.0,1,1,1,1
5636,11.0,11.00000000000008,0.0,1,1,1,1
5637,12.0,12.00000000000005,0.0,1,1,1,1
5638,14.0,14.000000000000066,0.0,1,1,1,1
5639,17.0,17.000000000000064,0.0,1,1,1,1
5640,12.0,12.00000000000005,0.0,1,1,1,1
5641,14.0,13.999999999999975,0.0,1,1,1,1
5642,11.0,11.00000000000005,0.0,1,1,1,1
5643,13.0,13.000000000000052,0.0,1,1,1,1
5644,16.0,16.000000000000092,0.0,1,1,1,1
5645,14.0,14.0000000000001,0.0,1,1,1,1
5646,14.0,14.000000000000064,0.0,1,1,1,1
5647,14.0,14.000000000000032,0.0,1,1,1,1
5648,13.0,13.000000000000083,0.0,1,1,1,1
5649,8.0,8.000000000000053,0.0,1,1,1,1
5650,6.0,6.000000000000006,0.0,1,1,1,1
5651,7.0,7.00000000000001,0.0,1,1,1,1
5652,8.0,8.000000000000028,0.0,1,1,1,1
5653,9.0,9.000000000000023,0.0,1,1,1,1
5654,12.0,12.000000000000094,0.0,1,1,1,1
5655,11.0,11.000000000000034,0.0,1,1,1,1
5656,12.0,12.000000000000043,0.0,1,1,1,1
5657,8.0,8.000000000000021,0.0,1,1,1,1
5658,9.0,9.000000000000032,0.0,1,1,1,1
5659,7.0,7.0000000000000595,0.0,1,1,1,1
5660,10.0,9.999999999999998,0.0,1,1,1,1
5661,13.0,13.000000000000025,0.0,1,1,1,1
5662,11.0,11.000000000000073,0.0,1,1,1,1
5663,8.0,8.000000000000037,0.0,1,1,1,1
5664,8.0,8.000000000000016,0.0,1,1,1,1
5665,9.0,9.000000000000034,0.0,1,1,1,1
5666,13.0,13.000000000000028,0.0,1,1,1,1
5667,12.0,12.000000000000036,0.0,1,1,1,1
5668,13.0,13.00000000000002,0.0,1,1,1,1
5669,11.0,11.00000000000006,0.0,1,1,1,1
5670,11.0,11.000000000000057,0.0,1,1,1,1
5671,9.0,9.000000000000048,0.0,1,1,1,1
5672,8.0,8.00000000000005,0.0,1,1,1,1
5673,10.0,10.000000000000046,0.0,1,1,1,1
5674,9.0,9.000000000000032,0.0,1,1,1,1
5675,9.0,9.00000000000006,0.0,1,1,1,1
5676,10.0,10.000000000000048,0.0,1,1,1,1
5677,12.0,12.000000000000043,0.0,1,1,1,1
5678,10.0,10.000000000000076,0.0,1,1,1,1
5679,4.0,4.000000000000027,0.0,1,1,1,1
5680,3.0,2.9999999999999925,0.0,1,1,1,1
5681,6.0,6.00000000000001,0.0,1,1,1,1
5682,6.0,6.00000000000002,0.0,1,1,1,1
5683,3.0,3.0000000000000044,0.0,1,1,1,1
5684,2.0,1.9999999999999671,0.0,1,1,1,1
5685,4.0,4.000000000000012,0.0,1,1,1,1
5686,7.0,6.999999999999983,0.0,1,1,1,1
5687,6.0,5.999999999999967,0.0,1,1,1,1
5688,3.0,3.0000000000000178,0.0,1,1,1,1
5689,5.0,4.999999999999993,0.0,1,1,1,1
5690,6.0,6.000000000000004,0.0,1,1,1,1
5691,4.0,3.9999999999999885,0.0,1,1,1,1
5692,2.0,2.000000000000029,0.0,1,1,1,1
5693,3.0,2.9999999999999787,0.0,1,1,1,1
5694,3.0,2.9999999999999902,0.0,1,1,1,1
5695,3.0,3.0000000000000036,0.0,1,1,1,1
5696,10.0,10.000000000000018,0.0,1,1,1,1
5697,12.0,12.000000000000037,0.0,1,1,1,1
5698,11.0,11.000000000000018,0.0,1,1,1,1
5699,9.0,9.000000000000062,0.0,1,1,1,1
5700,4.0,4.000000000000011,0.0,1,1,1,1
5701,9.0,9.00000000000001,0.0,1,1,1,1
5702,10.0,10.000000000000023,0.0,1,1,1,1
5703,12.0,12.000000000000025,0.0,1,1,1,1
5704,9.0,9.000000000000053,0.0,1,1,1,1
5705,9.0,9.000000000000014,0.0,1,1,1,1
5706,8.0,8.000000000000046,0.0,1,1,1,1
5707,7.0,7.000000000000021,0.0,1,1,1,1
5708,6.0,5.999999999999985,0.0,1,1,1,1
5709,2.0,2.0000000000000275,0.0,1,1,1,1
5710,6.0,5.9999999999999885,0.0,1,1,1,1
5711,1.0,0.9999999999999707,0.0,1,1,1,1
5712,2.0,1.9999999999999631,0.0,1,1,1,1
5713,2.0,1.9999999999999578,0.0,1,1,1,1
5714,6.0,5.999999999999942,0.0,1,1,1,1
5715,6.0,6.000000000000011,0.0,1,1,1,1
5716,7.0,7.000000000000013,0.0,1,1,1,1
5717,4.0,4.000000000000027,0.0,1,1,1,1
5718,4.0,4.0000000000000195,0.0,1,1,1,1
5719,3.0,2.9999999999999822,0.0,1,1,1,1
5720,1.0,0.9999999999999443,0.0,1,1,1,1
5721,1.0,0.9999999999999509,0.0,1,1,1,1
5722,2.0,1.9999999999999303,0.0,1,1,1,1
5723,8.0,7.999999999999957,0.0,1,1,1,1
5724,6.0,6.000000000000015,0.0,1,1,1,1
5725,8.0,8.0,0.0,1,1,1,1
5726,6.0,6.000000000000017,0.0,1,1,1,1
5727,5.0,5.000000000000021,0.0,1,1,1,1
5728,7.0,7.000000000000038,0.0,1,1,1,1
5729,8.0,8.000000000000036,0.0,1,1,1,1
5730,9.0,9.0,0.0,1,1,1,1
5731,11.0,10.999999999999995,0.0,1,1,1,1
5732,8.0,8.000000000000052,0.0,1,1,1,1
5733,6.0,6.000000000000015,0.0,1,1,1,1
5734,6.0,6.000000000000035,0.0,1,1,1,1
5735,2.0,2.000000000000013,0.0,1,1,1,1
5736,3.0,2.999999999999971,0.0,1,1,1,1
5737,8.0,7.999999999999998,0.0,1,1,1,1
5738,6.0,6.000000000000047,0.0,1,1,1,1
5739,10.0,10.000000000000048,0.0,1,1,1,1
5740,6.0,6.000000000000041,0.0,1,1,1,1
5741,7.0,7.000000000000007,0.0,1,1,1,1
5742,5.0,5.000000000000019,0.0,1,1,1,1
5743,7.0,7.000000000000003,0.0,1,1,1,1
5744,8.0,8.0,0.0,1,1,1,1
5745,7.0,7.0000000000000195,0.0,1,1,1,1
5746,7.0,7.000000000000042,0.0,1,1,1,1
5747,6.0,5.9999999999999725,0.0,1,1,1,1
5748,7.0,7.00000000000005,0.0,1,1,1,1
5749,8.0,8.000000000000036,0.0,1,1,1,1
5750,8.0,8.000000000000021,0.0,1,1,1,1
5751,6.0,6.00000000000003,0.0,1,1,1,1
5752,4.0,4.000000000000014,0.0,1,1,1,1
5753,6.0,5.999999999999976,0.0,1,1,1,1
5754,4.0,4.000000000000011,0.0,1,1,1,1
5755,6.0,5.999999999999977,0.0,1,1,1,1
5756,4.0,3.999999999999992,0.0,1,1,1,1
5757,8.0,8.000000000000016,0.0,1,1,1,1
5758,8.0,8.000000000000064,0.0,1,1,1,1
5759,8.0,8.000000000000037,0.0,1,1,1,1
5760,7.0,7.000000000000023,0.0,1,1,1,1
5761,6.0,5.999999999999997,0.0,1,1,1,1
5762,9.0,9.000000000000002,0.0,1,1,1,1
5763,8.0,8.000000000000002,0.0,1,1,1,1
5764,10.0,10.000000000000012,0.0,1,1,1,1
5765,8.0,8.000000000000037,0.0,1,1,1,1
5766,9.0,9.00000000000001,0.0,1,1,1,1
5767,3.0,3.0000000000000466,0.0,1,1,1,1
5768,3.0,3.000000000000002,0.0,1,1,1,1
5769,4.0,4.000000000000012,0.0,1,1,1,1
5770,3.0,2.9999999999999925,0.0,1,1,1,1
5771,3.0,2.9999999999999964,0.0,1,1,1,1
5772,3.0,2.9999999999999742,0.0,1,1,1,1
5773,8.0,7.999999999999988,0.0,1,1,1,1
5774,6.0,6.000000000000049,0.0,1,1,1,1
5775,8.0,8.000000000000046,0.0,1,1,1,1
5776,9.0,9.000000000000043,0.0,1,1,1,1
5777,11.0,11.000000000000039,0.0,1,1,1,1
5778,11.0,11.000000000000087,0.0,1,1,1,1
5779,13.0,13.000000000000078,0.0,1,1,1,1
5780,10.0,10.000000000000087,0.0,1,1,1,1
5781,11.0,11.000000000000057,0.0,1,1,1,1
5782,9.0,9.000000000000071,0.0,1,1,1,1
5783,9.0,9.000000000000053,0.0,1,1,1,1
5784,8.0,8.000000000000055,0.0,1,1,1,1
5785,4.0,4.000000000000044,0.0,1,1,1,1
5786,4.0,3.999999999999984,0.0,1,1,1,1
5787,6.0,6.0000000000000036,0.0,1,1,1,1
5788,8.0,7.999999999999998,0.0,1,1,1,1
5789,8.0,8.000000000000025,0.0,1,1,1,1
5790,8.0,8.000000000000044,0.0,1,1,1,1
